Date,Left_team,Right_team,Left_score,Right_score,Tournament,Left_overall,Right_overall,Left_attack,Right_attack,Left_midfield,Right_midfield,Left_deffense,Right_deffense,Left_bu_speed,Right_bu_speed,Left_bu_passing,Right_bu_passing,Left_bu_positioning,Right_bu_positioning,Left_cc_crossing,Right_cc_crossing,Left_cc_passing,Right_cc_passing,Left_cc_shooting,Right_cc_shooting,Left_cc_positioning,Right_cc_positioning,Left_aggression,Right_aggression,Left_pressure,Right_pressure,Left_avg_age,Right_avg_age,win
7/1/2012,Spain,Italy,4,0,UEFA Euro,87,83,84,83,86,82,83,80,37,45,40,35,Organised,Organised,37,65,41,65,56,50,Free Form,Organised,50,55,37,45,26,27,1
8/15/2012,Turkey,Austria,0,2,Friendly,77,74,74,75,78,71,73,72,40,37,33,53,Organised,Organised,49,37,48,38,39,49,Organised,Organised,44,37,50,34,25,25,0
8/15/2012,Netherlands,Belgium,2,4,Friendly,82,79,81,76,81,77,75,78,29,48,34,53,Organised,Organised,45,57,67,56,66,46,Organised,Organised,49,42,42,48,26,24,0
8/15/2012,Croatia,Switzerland,2,4,Friendly,78,76,78,71,78,74,74,74,59,41,44,47,Organised,Organised,74,45,39,37,61,32,Organised,Organised,61,45,61,47,27,24,0
8/15/2012,Chile,Ecuador,0,3,Friendly,76,73,76,72,74,73,70,67,62,50,42,50,Organised,Organised,50,50,65,65,54,50,Organised,Organised,44,55,35,35,26,26,0
8/15/2012,England,Italy,2,1,Friendly,83,83,82,83,83,82,81,80,63,45,49,35,Organised,Organised,67,65,51,65,51,50,Organised,Organised,47,55,43,45,26,27,1
8/15/2012,France,Uruguay,0,0,Friendly,83,79,81,81,81,74,82,77,48,75,36,55,Organised,Organised,52,50,49,65,52,50,Organised,Free Form,46,55,36,45,26,27,0
8/15/2012,Germany,Argentina,1,3,Friendly,84,82,82,86,84,79,80,77,59,32,40,39,Organised,Free Form,48,36,48,41,63,68,Organised,Free Form,47,55,44,60,24,26,0
8/15/2012,Mexico,USA,0,1,Friendly,76,75,76,70,73,74,74,72,53,35,54,55,Organised,Organised,58,50,68,65,40,35,Organised,Organised,58,35,46,35,26,25,0
8/15/2012,Northern Ireland,Finland,3,3,Friendly,71,71,65,68,69,70,70,67,60,56,56,58,Organised,Organised,45,53,50,47,62,53,Organised,Organised,50,30,40,33,25,25,0
8/15/2012,Greece,Norway,3,2,Friendly,75,74,73,73,73,73,75,73,26,70,39,59,Organised,Organised,60,52,47,68,52,61,Organised,Organised,23,47,24,33,26,27,1
8/15/2012,Russia,Ivory Coast,1,1,Friendly,79,78,77,80,78,75,76,73,60,66,58,42,Organised,Organised,63,73,70,59,48,53,Organised,Organised,42,51,41,51,27,27,0
8/15/2012,Scotland,Australia,3,1,Friendly,74,72,73,70,73,69,73,68,40,39,45,59,Organised,Organised,55,78,40,22,55,30,Organised,Organised,50,39,40,34,26,27,1
8/15/2012,Slovenia,Romania,4,3,Friendly,74,73,72,74,72,69,68,69,70,51,50,56,Organised,Organised,67,55,70,48,43,55,Organised,Organised,59,42,42,35,26,26,1
8/15/2012,Brazil,Sweden,3,0,Friendly,83,77,83,75,81,77,83,73,61,49,37,32,Organised,Organised,44,39,57,33,54,68,Organised,Organised,42,59,61,42,26,27,1
9/7/2012,Brazil,South Africa,1,0,Friendly,83,71,83,70,81,71,83,67,61,39,37,37,Organised,Organised,44,66,57,51,54,57,Organised,Organised,42,45,61,55,26,25,1
9/7/2012,Italy,Bulgaria,2,2,FIFA World Cup qualification,83,71,83,69,82,68,80,67,45,54,35,54,Organised,Organised,65,63,65,52,50,33,Organised,Organised,55,30,45,48,27,26,0
9/7/2012,Uruguay,Colombia,0,4,FIFA World Cup qualification,79,77,81,77,74,74,77,72,75,50,55,35,Organised,Organised,50,50,65,50,50,65,Free Form,Organised,55,55,45,45,27,26,0
9/7/2012,France,Finland,1,0,FIFA World Cup qualification,83,71,81,68,81,70,82,67,48,56,36,58,Organised,Organised,52,53,49,47,52,53,Organised,Organised,46,30,36,33,26,25,1
9/7/2012,Netherlands,Turkey,2,0,FIFA World Cup qualification,82,77,81,74,81,78,75,73,29,40,34,33,Organised,Organised,45,49,67,48,66,39,Organised,Organised,49,44,42,50,26,25,1
